date,nav
2004-08-27,8.393
2004-08-30,8.352
2004-08-31,8.309
2004-09-01,8.329
2004-09-02,8.381
2004-09-03,8.41
2004-09-06,8.419
2004-09-07,8.449
2004-09-08,8.412
2004-09-09,8.38
2004-09-10,8.355
2004-09-13,8.403
2004-09-14,8.402
2004-09-15,8.413
2004-09-16,8.438
2004-09-17,8.449
2004-09-20,8.423
2004-09-21,8.417
2004-09-22,8.357
2004-09-23,8.31
2004-09-24,8.322
2004-09-27,8.27
2004-09-28,8.295
2004-09-29,8.321
2004-09-30,8.273
2004-10-01,8.376
2004-10-04,8.466
2004-10-05,8.452
2004-10-06,8.478
2004-10-07,8.438
2004-10-08,8.365
2004-10-11,8.384
2004-10-13,8.367
2004-10-14,8.282
2004-10-15,8.263
2004-10-18,8.259
2004-10-19,8.258
2004-10-20,8.204
2004-10-21,8.221
2004-10-22,8.184
2004-10-25,8.102
2004-10-26,8.152
2004-10-27,8.221
2004-10-28,8.265
2004-10-29,8.269
2004-11-02,8.321
2004-11-03,8.344
2004-11-04,8.364
2004-11-05,8.383
2004-11-08,8.358
2004-11-09,8.368
2004-11-10,8.367
2004-11-11,8.421
2004-11-12,8.466
2004-11-15,8.473
2004-11-16,8.42
2004-11-17,8.449
2004-11-18,8.467
2004-11-19,8.394
2004-11-22,8.394
2004-11-23,8.38
2004-11-24,8.379
2004-11-25,8.375
2004-11-26,8.365
2004-11-29,8.352
2004-11-30,8.325
2004-12-01,8.388
2004-12-02,8.423
2004-12-03,8.397
2004-12-06,8.362
2004-12-07,8.322
2004-12-09,8.378
2004-12-10,8.389
2004-12-13,8.422
2004-12-14,8.46
2004-12-15,8.433
2004-12-16,8.484
2004-12-17,8.455
2004-12-20,8.417
2004-12-21,8.46
2004-12-22,8.486
2004-12-23,8.452
2004-12-27,8.407
2004-12-28,8.445
2004-12-29,8.448
2004-12-30,8.449
2005-01-03,8.485
2005-01-04,8.494
2005-01-05,8.462
2005-01-07,8.574
2005-01-10,8.571
2005-01-11,8.524
2005-01-12,8.481
2005-01-13,8.485
2005-01-14,8.559
2005-01-17,8.577
2005-01-18,8.627
2005-01-19,8.591
2005-01-20,8.57
2005-01-21,8.529
2005-01-24,8.5
2005-01-25,8.553
2005-01-26,8.544
2005-01-27,8.565
2005-01-28,8.553
2005-01-31,8.592
2005-02-01,8.638
2005-02-02,8.656
2005-02-03,8.661
2005-02-04,8.735
2005-02-07,8.783
2005-02-08,8.802
2005-02-09,8.755
2005-02-10,8.738
2005-02-11,8.798
2005-02-14,8.781
2005-02-15,8.808
2005-02-16,8.781
2005-02-17,8.721
2005-02-18,8.734
2005-02-21,8.728
2005-02-22,8.607
2005-02-23,8.61
2005-02-24,8.634
2005-02-25,8.71
2005-02-28,8.669
2005-03-01,8.738
2005-03-02,8.764
2005-03-03,8.768
2005-03-04,8.78
2005-03-07,8.805
2005-03-08,8.722
2005-03-09,8.675
2005-03-10,8.636
2005-03-11,8.606
2005-03-14,8.636
2005-03-15,8.649
2005-03-16,8.561
2005-03-17,8.577
2005-03-18,8.616
2005-03-21,8.623
2005-03-22,8.579
2005-03-23,8.62
2005-03-24,8.639
2005-03-29,8.625
2005-03-30,8.651
2005-03-31,8.65
2005-04-01,8.657
2005-04-04,8.699
2005-04-05,8.737
2005-04-06,8.753
2005-04-07,8.768
2005-04-08,8.763
2005-04-11,8.718
2005-04-12,8.748
2005-04-13,8.718
2005-04-14,8.698
2005-04-18,8.476
2005-04-19,8.514
2005-04-20,8.458
2005-04-21,8.502
2005-04-22,8.515
2005-04-26,8.549
2005-04-27,8.531
2005-04-28,8.509
2005-04-29,8.559
2005-05-02,8.611
2005-05-03,8.596
2005-05-04,8.636
2005-05-05,8.649
2005-05-06,8.7
2005-05-09,8.716
2005-05-10,8.638
2005-05-11,8.677
2005-05-12,8.681
2005-05-13,8.678
2005-05-16,8.704
2005-05-17,8.72
2005-05-18,8.783
2005-05-19,8.832
2005-05-20,8.852
2005-05-23,8.874
2005-05-24,8.879
2005-05-25,8.851
2005-05-26,8.919
2005-05-27,8.922
2005-05-30,8.969
2005-05-31,8.995
2005-06-01,9.101
2005-06-03,9.079
2005-06-06,9.075
2005-06-07,9.105
2005-06-08,9.074
2005-06-09,9.143
2005-06-10,9.18
2005-06-13,9.23
2005-06-14,9.245
2005-06-15,9.226
2005-06-16,9.273
2005-06-17,9.241
2005-06-20,9.275
2005-06-21,9.288
2005-06-22,9.295
2005-06-23,9.296
2005-06-24,9.227
2005-06-27,9.159
2005-06-28,9.253
2005-06-29,9.265
2005-06-30,9.215
2005-07-01,9.303
2005-07-04,9.342
2005-07-05,9.37
2005-07-06,9.343
2005-07-07,9.293
2005-07-08,9.382
2005-07-11,9.373
2005-07-12,9.328
2005-07-13,9.384
2005-07-14,9.405
2005-07-15,9.427
2005-07-18,9.396
2005-07-19,9.462
2005-07-20,9.462
2005-07-21,9.407
2005-07-22,9.431
2005-07-25,9.439
2005-07-26,9.461
2005-07-27,9.491
2005-07-28,9.511
2005-07-29,9.458
2005-08-01,9.444
2005-08-02,9.502
2005-08-03,9.466
2005-08-04,9.386
2005-08-05,9.345
2005-08-08,9.344
2005-08-09,9.4
2005-08-10,9.433
2005-08-11,9.451
2005-08-12,9.425
2005-08-17,9.427
2005-08-18,9.463
2005-08-19,9.5
2005-08-22,9.493
2005-08-23,9.475
2005-08-24,9.414
2005-08-25,9.391
2005-08-26,9.335
2005-08-29,9.375
2005-08-30,9.405
2005-08-31,9.425
2005-09-01,9.4
2005-09-02,9.36
2005-09-05,9.39
2005-09-06,9.467
2005-09-07,9.497
2005-09-08,9.492
2005-09-09,9.543
2005-09-12,9.614
2005-09-13,9.566
2005-09-14,9.557
2005-09-15,9.599
2005-09-16,9.642
2005-09-19,9.662
2005-09-20,9.636
2005-09-21,9.567
2005-09-22,9.595
2005-09-23,9.632
2005-09-26,9.695
2005-09-27,9.691
2005-09-28,9.733
2005-09-29,9.774
2005-09-30,9.758
2005-10-03,9.824
2005-10-04,9.788
2005-10-05,9.68
2005-10-06,9.515
2005-10-07,9.522
2005-10-10,9.531
2005-10-11,9.569
2005-10-12,9.51
